CardNumber,CardName,CardLifePoint,CardAttack,CardSpeed,AttackRange,AttackType(近攻D，遠攻F，其他N),Gold,CardAttribute,cardPicturePath
Lion2016030901,Tutankhamun,0,0,0,0,N,100,W,cardsample
Lion2016030902,Warrior,10,6,4,1,D,40,W,cardsample
Lion2016030903,Archer,6,6,2,4,F,50,W,cardsample
Lion2016030904,Horse,8,4,5,2,D,40,N,cardsample
Lion2016030905,vehicle,0,0,3,0,N,60,N,cardsample
Lion2016030906,Fire Stone,0,4,0,0,F,40,F,cardsample
Lion2016030907,Knight of Pike,13,4,5,2,D,50,W,cardsample
Lion2016030908,Knight of Crossbow,8,6,5,4,F,50,W,cardsample
Lion2016030909,Horse-drawn vehicle of Catapult,15,6,3,5,F,40,F,cardsample
Lion2016030910,Human of Catapult,10,4,1,5,F,60,F,cardsample
Lion2016030911,Horse-drawn vehicle,0,0,3,0,N,40,N,cardsample
Wolf20160201,wolf1,11,3,2,1,D,50,n,n
Wolf20160202,wolf2,18,2,2,1,D,60,n,n
Wolf20160203,wolf3,13,3,4,1,D,60,n,n
Wolf20160204,wolf4,7,7,3,5,F,60,n,n
Wolf20160205,wolf5,6,6,4,4,F,60,n,n
Wolf20160206,wolf6,5,8,3,5,F,60,n,n
Wolf20160207,Wolf of King,25,5,3,1,D,250,n,n
